,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
51,426 Winthrop Drive,6,53.0,1075.0,Price per Unit,2,1.5,Rent,2017-08-01T04:00:00.000Z,42.47419153950313,-76.46694200185243,No,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,426 Winthrop Drive,6,54.0,1075.0,Price per Unit,2,1.5,Rent,2017-08-01T04:00:00.000Z,42.47411599868182,-76.46680252698366,No,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,426 Winthrop Drive,6,55.0,1075.0,Price per Unit,2,1.5,Rent,2017-08-01T04:00:00.000Z,42.4742419,-76.4668669,No,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,310 COURT STREET E,,56.0,1050.0,Price per Unit,1,1,Rent,2018-08-01T04:00:00.000Z,42.4428828,-76.4950282,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
55,601 CAYUGA STREET N,N/A (first floor of duplex),57.0,765.0,Price per Person,1,1,Share,2019-05-31T04:00:00.000Z,42.446228,-76.49902399999999,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,128 COURT STREET E,,58.0,500.0,Price per Person,4,2,Room to Rent,2018-06-11T04:00:00.000Z,42.442844618261766,-76.497769,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
57,106L Birchwood Drive,106L,60.0,995.0,Price per Unit,1,1,Rent,2018-03-01T05:00:00.000Z,42.468702,-76.457545,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
58,3058 Swamp College Rd.,,61.0,250.0,Price per Unit,2,1,Rent,2017-05-26T04:00:00.000Z,42.510484,-76.619434,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,9 Meadowlark Drive,,62.0,715.0,Price per Person,1,1,Rent,2019-08-01T04:00:00.000Z,42.471829,-76.448527,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,26 Mill St.,,63.0,1950.0,Price per Unit,3,2,Rent,2017-08-01T04:00:00.000Z,42.55381535367142,-76.53557198280333,Yes,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
61,133 Chelsey Circle,,64.0,2250.0,Price per Unit,3,2,Rent,2017-04-05T04:00:00.000Z,42.482837,-76.3407253,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,1134 E. Shore Dr.,,65.0,3000.0,Price per Unit,4,2.5,Rent,2017-07-15T04:00:00.000Z,42.47692932084807,-76.50685725581968,No,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
63,223 Snyder Hill Road,,66.0,1425.0,Price per Unit,3,1,Rent,2019-08-01T04:00:00.000Z,42.423333800476186,-76.44999751289748,Yes,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
64,123 QUARRY STREET S,,67.0,1535.0,Price per Unit,1,1,Rent,2018-08-01T04:00:00.000Z,42.43693668997898,-76.48793445826647,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
65,711 STATE STREET E,,68.0,1550.0,Price per Unit,studio,1,Rent,2017-08-08T04:00:00.000Z,42.43817749999999,-76.4876594,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,604 STATE STREET E,,69.0,580.0,Price per Person,5,2,Room to Rent,2017-05-29T04:00:00.000Z,42.43932021336455,-76.4893181312828,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
67,801-09 STATE STREET E,,70.0,2300.0,Price per Unit,2,2,Rent,2018-07-01T04:00:00.000Z,42.4368833,-76.48652539999999,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
68,207-15 FALL CREEK DRIVE,,71.0,1500.0,Price per Unit,3,1,Rent,2020-08-01T04:00:00.000Z,42.45265055454961,-76.48747277546312,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
69,109 SAGE PLACE,,72.0,1490.0,Price per Unit,2,1,Rent,2021-08-16T04:00:00.000Z,42.4400059,-76.4908449,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70,Lansing Station Road,,73.0,1000.0,Price per Unit,1,1,Rent,2020-10-12T04:00:00.000Z,42.576219406281645,-76.60840903578179,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
71,135 Burleigh Dr.,lower level,74.0,1250.0,Price per Unit,1,1,Rent,2021-08-23T04:00:00.000Z,42.476343,-76.47157100000001,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
