listingId,address,unit_number,rent,rent_type,bedrooms,bathrooms,housing_type,date_available,latitude,longitude,pets_allowed,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate,distance
57.0,601 CAYUGA STREET N,N/A (first floor of duplex),765.0,Price per Unit,1.0,1.0,Share,2021-08-01 04:00:00,42.446228,-76.49902399999999,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1164.0941356223059
58.0,128 COURT STREET E,,2000.0,Price per Unit,4.0,2.0,Room to Rent,2018-06-11 04:00:00,42.442844618261766,-76.497769,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1178.3091091350848
60.0,106L Birchwood Drive,106L,995.0,Price per Unit,1.0,1.0,Rent,2018-03-01 05:00:00,42.468702,-76.457545,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,3246.943195389277
61.0,3058 Swamp College Rd.,,250.0,Price per Unit,2.0,1.0,Rent,2017-05-26 04:00:00,42.510484,-76.619434,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,13054.775001943111
62.0,9 Meadowlark Drive,,715.0,Price per Unit,1.0,1.0,Rent,2019-08-01 04:00:00,42.471829,-76.448527,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,4020.8399457477235
63.0,26 Mill St.,,1950.0,Price per Unit,3.0,2.0,Rent,2017-08-01 04:00:00,42.55381535367142,-76.53557198280333,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,12513.225645508468
64.0,133 Chelsey Circle,,2250.0,Price per Unit,3.0,2.0,Rent,2017-04-05 04:00:00,42.482837,-76.3407253,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,12462.03396269479
65.0,1134 E. Shore Dr.,,3000.0,Price per Unit,4.0,2.5,Rent,2017-07-15 04:00:00,42.47692932084807,-76.50685725581968,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,3718.4682786715694
66.0,223 Snyder Hill Road,,1425.0,Price per Unit,3.0,1.0,Rent,2019-08-01 04:00:00,42.423333800476186,-76.44999751289748,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,3942.6132081856786
67.0,123 QUARRY STREET S,,1535.0,Price per Unit,1.0,1.0,Rent,2018-08-01 04:00:00,42.43693668997898,-76.48793445826647,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1215.4457715069839
68.0,711 STATE STREET E,,1550.0,Price per Unit,0.0,1.0,Rent,2017-08-08 04:00:00,42.43817749999999,-76.4876594,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1075.7630263710996
69.0,604 STATE STREET E,,2900.0,Price per Unit,5.0,2.0,Room to Rent,2017-05-29 04:00:00,42.43932021336455,-76.4893181312828,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,992.2267097783237
70.0,801-09 STATE STREET E,,2300.0,Price per Unit,2.0,2.0,Rent,2018-07-01 04:00:00,42.4368833,-76.48652539999999,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1203.5564047533935
